addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x020109e4	DIVERGED	arm9	_ZN8dActor_c13DistToCPlayerEv	function	_ZN5Actor13DistToCPlayerEv	function	class-rename	_ZN8dActor_c13DistToCPlayerEv	
0x02010a08	DIVERGED	arm9	_ZN8dActor_c22ClosestNonVanishPlayerEv	function	_ZN5Actor22ClosestNonVanishPlayerEv	function	class-rename	_ZN8dActor_c22ClosestNonVanishPlayerEv	
0x02010ad8	DIVERGED	arm9	_ZN8dActor_c13ClosestPlayerEv	function	_ZN5Actor13ClosestPlayerEv	function	class-rename	_ZN8dActor_c13ClosestPlayerEv	
0x02010b9c	DIVERGED	arm9	_ZN8dActor_c18DropShadowScaleXYZER11ShadowModelR9Matrix4x35Fix12IiES5_S5_j	function	_ZN5Actor18DropShadowScaleXYZER11ShadowModelR9Matrix4x35Fix12IiES5_S5_j	function	class-rename	_ZN8dActor_c18DropShadowScaleXYZER11ShadowModelR9Matrix4x35Fix12IiES5_S5_j	
0x02010be8	DIVERGED	arm9	_ZN8dActor_c19DropShadowRadHeightER11ShadowModelR9Matrix4x35Fix12IiES5_j	function	_ZN5Actor19DropShadowRadHeightER11ShadowModelR9Matrix4x35Fix12IiES5_j	function	class-rename	_ZN8dActor_c19DropShadowRadHeightER11ShadowModelR9Matrix4x35Fix12IiES5_j	
0x02010c30	DIVERGED	arm9	_ZN8dActor_c9UpdatePosEP5dCc_c	function	_ZN5Actor9UpdatePosEP12CylinderClsn	function	class-rename+arg-rename	_ZN8dActor_c9UpdatePosEP5dCc_c	
0x02010c5c	DIVERGED	arm9	_ZN8dActor_c28UpdatePosWithHorzSpeedAndAngEv	function	_ZN5Actor28UpdatePosWithHorzSpeedAndAngEv	function	class-rename	_ZN8dActor_c28UpdatePosWithHorzSpeedAndAngEv	
0x02010d40	DIVERGED	arm9	_ZN8dActor_c22UpdatePosWithOnlySpeedEP5dCc_c	function	_ZN5Actor22UpdatePosWithOnlySpeedEP12CylinderClsn	function	class-rename+arg-rename	_ZN8dActor_c22UpdatePosWithOnlySpeedEP5dCc_c	
0x02010e08	DIVERGED	arm9	_ZN8dActor_c9SetRangesE5Fix12IiES1_S1_S1_	function	_ZN5Actor9SetRangesE5Fix12IiES1_S1_S1_	function	class-rename	_ZN8dActor_c9SetRangesE5Fix12IiES1_S1_S1_	
0x02010e2c	DIVERGED	arm9	_ZN8dActor_c5SpawnEjjRK7Vector3PK10Vector3_16as	function	_ZN5Actor5SpawnEjjRK7Vector3PK10Vector3_16ii	function	class-rename+signature-fix	_ZN8dActor_c5SpawnEjjRK7Vector3PK10Vector3_16as	
0x02010ecc	DIVERGED	arm9	_ZN8dActor_c4NextEPKS_	function	_ZN5Actor4NextEPKS_	function	class-rename+arg-rename	_ZN8dActor_c4NextEPKS_	
0x02010ef0	DIVERGED	arm9	_ZN8dActor_c15FindWithActorIDEjPS_	function	_ZN5Actor15FindWithActorIDEjPS_	function	class-rename+arg-rename	_ZN8dActor_c15FindWithActorIDEjPS_	
0x02010f3c	DIVERGED	arm9	_ZN8dActor_c10FindWithIDEj	function	_ZN5Actor10FindWithIDEj	function	class-rename	_ZN8dActor_c10FindWithIDEj	
